Runde,Dato,Dag,Tid,Hjemmelag,Resultat,Bortelag,Bane,Turnering,Kampnummer
1,13.04.2018,fredag,18:00,Molde 2,6 - 1,Kristiansund 2,Aker stadion,Norsk Tipping-ligaen avd 1,99120301006
1,14.04.2018,lørdag,16:00,Spjelkavik,3 - 3,Træff,Spjelkavik kunstgress,Norsk Tipping-ligaen avd 1,99120301001
1,14.04.2018,lørdag,16:00,Ready,0 - 1,Drøbak-Frogn,Gressbanen kunstgress,Norsk Tipping-ligaen avd 1,99120301004
1,15.04.2018,søndag,15:00,Hødd 2,2 - 4,Oppsal,Høddvoll,Norsk Tipping-ligaen avd 1,99120301005
1,15.04.2018,søndag,15:45,Herd,2 - 0,Lokomotiv Oslo,AMFI Moa Stadion,Norsk Tipping-ligaen avd 1,99120301007
1,15.04.2018,søndag,16:00,Follo,3 - 2,KFUM 2,Ski kunstgress 2,Norsk Tipping-ligaen avd 1,99120301003
1,23.05.2018,onsdag,19:00,Rilindja,1 - 3,Ullern,Haugerud kunstgress,Norsk Tipping-ligaen avd 1,99120301002
2,21.04.2018,lørdag,14:00,Kristiansund 2,1 - 2,Spjelkavik,Kristiansund stadion,Norsk Tipping-ligaen avd 1,99120301008
2,21.04.2018,lørdag,14:00,Ullern,1 - 1,Follo,Ullern kunstgress,Norsk Tipping-ligaen avd 1,99120301012
2,22.04.2018,søndag,15:30,Drøbak-Frogn,4 - 2,Hødd 2,Seiersten stadion KG,Norsk Tipping-ligaen avd 1,99120301010
2,22.04.2018,søndag,19:00,Træff,2 - 1,Herd,Reknesbanen,Norsk Tipping-ligaen avd 1,99120301014
2,23.04.2018,mandag,17:30,Oppsal,5 - 1,Molde 2,Trasop kunstgress,Norsk Tipping-ligaen avd 1,99120301009
2,23.04.2018,mandag,18:00,Lokomotiv Oslo,2 - 1,Rilindja,Marienlyst kunstgress,Norsk Tipping-ligaen avd 1,99120301013
2,23.04.2018,mandag,18:15,KFUM 2,3 - 1,Ready,KFUM-Arena,Norsk Tipping-ligaen avd 1,99120301011
3,26.04.2018,torsdag,19:00,Træff,3 - 2,Kristiansund 2,Reknesbanen,Norsk Tipping-ligaen avd 1,99120301016
3,27.04.2018,fredag,14:00,Molde 2,5 - 1,Drøbak-Frogn,Aker stadion,Norsk Tipping-ligaen avd 1,99120301020
3,27.04.2018,fredag,18:00,Follo,5 - 1,Lokomotiv Oslo,Langhus kunstgress,Norsk Tipping-ligaen avd 1,99120301017
3,28.04.2018,lørdag,15:00,Spjelkavik,2 - 3,Oppsal,Spjelkavik kunstgress,Norsk Tipping-ligaen avd 1,99120301015
3,28.04.2018,lørdag,15:00,Herd,0 - 1,Rilindja,AMFI Moa Stadion,Norsk Tipping-ligaen avd 1,99120301021
3,28.04.2018,lørdag,16:00,Ready,2 - 2,Ullern,Gressbanen kunstgress,Norsk Tipping-ligaen avd 1,99120301018
3,29.04.2018,søndag,16:00,Hødd 2,2 - 2,KFUM 2,Høddvoll,Norsk Tipping-ligaen avd 1,99120301019
