"Team","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6","Pos 7","Pos 8","Pos 9","Pos 10","Pos 11","Pos 12","Pos 13","Pos 14"
"Drøbak-Frogn",0,0,0,3627800946,2305730043,1800739350,1288291230,930826566,423356544,83608524,0,0,0,0
"Follo",0,0,0,551124000,946636389,1312880157,1691379873,2140478136,2066920578,1631497626,119436444,0,0,0
"Herd",0,0,0,778318065,1225487637,1511500581,1917980532,1892476710,1865509542,1188231120,80849016,0,0,0
"Hødd 2",0,0,0,0,0,0,0,0,0,0,0,0,129140163,10331213040
"KFUM 2",0,0,0,0,0,0,0,5511240,56805138,209446803,3278794140,5659846650,1249949232,0
"Kristiansund 2",0,0,0,0,0,0,0,0,0,0,256686003,1567219509,8507307528,129140163
"Lokomotiv Oslo",0,0,0,2407779594,2180030031,2120798781,1675158651,1154494701,723324735,195413310,3353400,0,0,0
"Molde 2",14348907,10187723970,258280326,0,0,0,0,0,0,0,0,0,0,0
"Oppsal",10446004296,14348907,0,0,0,0,0,0,0,0,0,0,0,0
"Ready",0,0,0,60859107,208635426,429284043,897513453,1463553522,2320194861,4274471088,791492796,14348907,0,0
"Rilindja",0,0,0,0,0,9639,6076863,57634902,226673640,784991655,5596146468,3214863756,573956280,0
"Spjelkavik",0,0,0,2637643500,2722007268,2043194544,1427788539,958640103,531571491,136737558,2770200,0,0,0
"Træff",0,258280326,10202072877,0,0,0,0,0,0,0,0,0,0,0
"Ullern",0,0,0,396827991,871826409,1241946108,1556164062,1856737323,2245996674,1955955519,330824736,4074381,0,0
