"Team","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6","Pos 7","Pos 8","Pos 9","Pos 10","Pos 11","Pos 12","Pos 13","Pos 14"
"Drøbak-Frogn",0,0,0,162,513,486,729,297,0,0,0,0,0,0
"Follo",0,0,0,0,108,324,243,702,648,162,0,0,0,0
"Herd",0,0,0,0,0,162,405,405,972,243,0,0,0,0
"Hødd 2",0,0,0,0,0,0,0,0,0,0,0,0,0,2187
"KFUM 2",0,0,0,0,0,0,0,0,0,0,486,1458,243,0
"Kristiansund 2",0,0,0,0,0,0,0,0,0,0,0,243,1944,0
"Lokomotiv Oslo",0,0,0,1431,567,162,27,0,0,0,0,0,0,0
"Molde 2",0,2187,0,0,0,0,0,0,0,0,0,0,0,0
"Oppsal",2187,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ready",0,0,0,0,0,0,0,81,324,1782,0,0,0,0
"Rilindja",0,0,0,0,0,0,0,0,0,0,1701,486,0,0
"Spjelkavik",0,0,0,486,621,567,405,108,0,0,0,0,0,0
"Træff",0,0,2187,0,0,0,0,0,0,0,0,0,0,0
"Ullern",0,0,0,108,378,486,378,594,243,0,0,0,0,0
